LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmHz,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
119,190716,1,2,356,20,75,2,1,0,30,20,45,1,4,0,2.5208,43.6672,42.1288,,
119,190716,1,2,401,0,75,2,1,1,30,20,45,1,5,0,1.6368,57.8544,45.9064,,
120,190716,1,2,0,40,350,2,1,1,30,20,45,1,5,2,1.824,57.3312,47.8808,,
120,190716,1,2,38,0,350,2,1,0,30,20,45,1,4,0,0.3352,5.6936,7.0704,,
120,190716,1,2,84,0,350,2,1,1,30,8,45,1,5,0,1.744,67.4944,55.5216,,
120,190716,1,2,117,0,350,2,1,0,30,8,45,1,4,0,0,0,5.7768,,
120,190716,1,2,148,40,350,2,1,1,30,1,45,1,4,0,1.64,47.9336,43.9464,,
120,190716,1,2,180,0,350,2,1,0,30,1,45,1,4,0,3.284,80.5576,58.1216,,
120,190716,1,2,228,0,350,2,1,1,30,1,45,1,3,0,0,0,2.9808,,
120,190716,1,2,259,0,350,2,1,0,30,1,45,1,5,0,2.4976,98.6008,60.8064,,
120,190716,1,2,293,0,350,2,1,1,30,8,45,1,2,0,0,0,0,,
120,190716,1,2,324,0,350,2,1,0,30,8,45,1,3,1,1.1776,0,5.8464,,
119,190717,1,2,0,30,75,2,1,0,30,1,45,1,4,0,2.3056,56.2792,22.6184,,
119,190717,1,2,31,0,75,2,1,1,30,1,45,1,1,3,0,0,0,,
119,190717,1,2,62,0,75,2,1,0,30,8,45,1,5,0,3.1288,45.38,38.3392,,
119,190717,1,2,92,30,75,2,1,1,30,8,45,1,4,0,5.056,55.3912,32.5088,,
119,190717,1,2,123,30,75,2,1,0,30,20,45,1,5,0,2.4408,47.772,39.2752,,
119,190717,1,2,159,0,75,2,1,1,30,20,45,1,4,0,2.516,44.6776,37.7232,,
119,190717,1,2,184,30,75,2,1,0,30,20,45,1,4,0,6.8144,99.5744,56.212,,
119,190717,1,2,215,30,75,2,1,1,30,20,45,1,1,0,0,57.7568,0,,
119,190717,1,2,246,0,75,2,1,0,30,8,45,1,4,0,5.7872,81.1712,32.7432,,
119,190717,1,2,276,30,75,2,1,1,30,8,45,1,4,0,2.5848,38.8304,38.7672,,
119,190717,1,2,307,0,75,2,1,0,30,1,45,1,4,0,5.3728,50.4824,40.6016,,
119,190717,1,2,337,30,75,2,1,1,30,1,45,1,5,0,3.0624,73.2584,47.5552,,
120,190717,1,2,0,30,350,2,1,1,30,1,45,1,5,0,3.9944,50.0936,42.3736,,
120,190717,1,2,31,0,350,2,1,0,30,1,45,1,2,0,0,0,0,,
120,190717,1,2,62,0,350,2,1,1,30,8,45,1,1,0,1.5064,0,2.236,,
120,190717,1,2,92,30,350,2,1,0,30,8,45,1,4,0,2.0544,16.58,14.9136,,
120,190717,1,2,123,30,350,2,1,1,30,20,45,1,5,0,3.0112,59.1584,45.7616,,
120,190717,1,2,159,0,350,2,1,0,30,20,45,1,1,1,0,0,0,,
120,190717,1,2,184,30,350,2,1,1,30,20,45,1,1,0,0,3.7304,0,,
120,190717,1,2,215,30,350,2,1,0,30,20,45,1,4,0,3.8056,53.928,46.7064,,
120,190717,1,2,246,0,350,2,1,1,30,8,45,1,3,0,4.9416,11.9312,6.8552,,
120,190717,1,2,276,30,350,2,1,0,30,8,45,1,5,0,5.9952,40.5656,41.2248,,
120,190717,1,2,307,0,350,2,1,1,30,1,45,1,4,0,6.8752,43.1448,39.8864,,
120,190717,1,2,337,30,350,2,1,0,30,1,45,1,4,0,7.1568,51.4552,45.0984,,
